,File,Line,Index,Context
198,Vrila.html,234,1064,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
199,Vrila.html,251,125,"<a href=""https://www.wikidata.org/wiki/Q3038859#si"
200,William_Henry_Porter.html,48,315,"24px-PD-icon.svg.png 2x"" data-file-width=""196"" dat"
201,William_Henry_Porter.html,48,337,"x"" data-file-width=""196"" data-file-height=""196"" />"
202,William_Henry_Porter.html,88,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
203,William_Henry_Porter.html,171,1031,"<a href=""https://www.wikidata.org/wiki/Q19867883"" "
204,William_Henry_Porter.html,171,1081,"title=""Link to connected data repository item [g]"""
205,William_Henry_Porter.html,171,1125,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
206,William_Henry_Porter.html,188,124,"<a href=""https://www.wikidata.org/wiki/Q19867883#s"
207,Clive_Brown_(footballer).html,146,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
208,Clive_Brown_(footballer).html,229,1047,"<a href=""https://www.wikidata.org/wiki/Q19518732"" "
209,Clive_Brown_(footballer).html,229,1097,"title=""Link to connected data repository item [g]"""
210,Clive_Brown_(footballer).html,229,1141,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
211,Clive_Brown_(footballer).html,246,124,"<a href=""https://www.wikidata.org/wiki/Q19518732#s"
212,Blick_nach_Rechts.html,43,102,"le class=""plainlinks metadata ambox ambox-content "
213,Blick_nach_Rechts.html,46,441,"ion_book-new.svg.png 2x"" data-file-width=""512"" dat"
214,Blick_nach_Rechts.html,46,463,"x"" data-file-width=""512"" data-file-height=""399"" />"
215,Blick_nach_Rechts.html,134,20,"</p>
"
216,Blick_nach_Rechts.html,170,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
217,Blick_nach_Rechts.html,253,1019,"<a href=""https://www.wikidata.org/wiki/Q883995"" ti"
218,Blick_nach_Rechts.html,253,1067,"title=""Link to connected data repository item [g]"""
219,Blick_nach_Rechts.html,253,1111,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
220,Blick_nach_Rechts.html,270,125,"<a href=""https://www.wikidata.org/wiki/Q883995#sit"
